R_outer,R_inner,Total_flux
30.0,28.4,3.5307942656057504e-12
28.4,26.8,3.875443417854219e-12
26.8,25.2,4.268029537132678e-12
25.2,23.6,4.717868916216339e-12
23.6,22.0,5.223453405787771e-12
22.0,20.4,5.7993615224857814e-12
20.4,18.8,6.445505064724374e-12
18.8,17.2,7.165376415200644e-12
17.2,15.6,7.936471221206466e-12
15.6,14.0,8.706698806315916e-12
14.0,12.4,9.35008331262859e-12
12.4,10.8,9.551841511531945e-12
10.8,9.2,8.56390598231755e-12
9.2,7.6,4.4722144189457735e-12
7.6,6.0,0.0
