R_outer,R_inner,Total_flux
30.0,28.801666666666666,3.0987517467907514e-12
28.801666666666666,27.60333333333333,3.364444757249919e-12
27.60333333333333,26.405,3.665472520169715e-12
26.405,25.206666666666667,4.008349817188476e-12
25.206666666666667,24.008333333333333,4.392097478172163e-12
24.008333333333333,22.810000000000002,4.8311473350687624e-12
22.810000000000002,21.611666666666668,5.3466895678182595e-12
21.611666666666668,20.413333333333334,5.9344413487311694e-12
20.413333333333334,19.214999999999996,6.626824713443366e-12
19.214999999999996,18.016666666666666,7.443418195240994e-12
18.016666666666666,16.818333333333335,8.406151255533444e-12
16.818333333333335,15.62,9.573044737477614e-12
15.62,14.421666666666665,1.0981725034641676e-11
14.421666666666665,13.223333333333333,1.2736050886544999e-11
13.223333333333333,12.025,1.4929188176611452e-11
12.025,10.826666666666664,1.7739663857963345e-11
10.826666666666664,9.62833333333333,2.1405300602606703e-11
9.62833333333333,8.429999999999998,2.6340322789431177e-11
8.429999999999998,7.2316666666666665,3.3198673358727755e-11
7.2316666666666665,6.033333333333331,4.3105915888967496e-11
6.033333333333331,4.834999999999997,5.80978348058491e-11
4.834999999999997,3.636666666666667,8.15132460835419e-11
3.636666666666667,2.4383333333333326,1.1313153754512724e-10
2.4383333333333326,1.24,6.043632068061315e-11
