lens,u0,A,delta_t,prob_lensing

399208,1.2343649895266937,1.0000242345123838,0.5590987129287351,8.349866068148266e-09
399208,1.207779062230441,1.0000237085907635,0.5590987129287351,1.6699732136296533e-08
399208,1.1968929589932962,1.000023190588962,0.5590987129287351,2.5049598204444802e-08
2408889,0.8991046184497202,1.0000000939679354,0.230906441383504,5.535055095246536e-09
2408889,0.7598567565999569,1.0000000927059551,0.230906441383504,6.91881886905817e-09
2408889,0.6381150508125552,1.0000000914626466,0.230906441383504,8.302582642869804e-09
2408889,0.5457240298761994,1.0000000902377335,0.230906441383504,9.686346416681438e-09
2408889,0.49925342931524586,1.000000089030943,0.230906441383504,1.1070110190493072e-08
2408889,0.5113791877698187,1.000000087842006,0.230906441383504,1.2453873964304706e-08
2408889,0.5784277753375427,1.000000086670656,0.230906441383504,1.383763773811634e-08
