lens,u0,A,delta_t,prob_lensing

2242668,0.9636565057275497,1.0000040678013318,0.48804116763936045,1.4863249189507023e-09
2242668,0.8817812140139368,1.0000040029666202,0.48804116763936045,2.9726498379014045e-09
2242668,0.8031145672512305,1.0000039391986957,0.48804116763936045,4.458974756852107e-09
2242668,0.7286965146347179,1.0000038764826726,0.48804116763936045,5.945299675802809e-09
2242668,0.6599658002385632,1.0000038148036978,0.48804116763936045,7.4316245947535104e-09
2242668,0.5988837760913619,1.0000037541469586,0.48804116763936045,8.917949513704214e-09
2242668,0.5480140592094497,1.000003694497693,0.48804116763936045,1.0404274432654915e-08
2242668,0.5104191191292132,1.0000036358412017,0.48804116763936045,1.1890599351605618e-08
2242668,0.48916936019256624,1.0000035781628536,0.48804116763936045,1.337692427055632e-08
2242668,0.48641163568846796,1.000003521448097,0.48804116763936045,1.4863249189507021e-08
2242668,0.5024505631922775,1.0000034656824643,0.48804116763936045,1.6349574108457722e-08
2242668,0.5356002088749733,1.0000034108515816,0.48804116763936045,1.7835899027408427e-08
2242668,0.5829487294492746,1.0000033569411755,0.48804116763936045,1.932222394635913e-08
2242668,0.6413591742650873,1.0000033039370768,0.48804116763936045,2.080854886530983e-08
2242668,0.7080992699714536,1.0000032518252295,0.48804116763936045,2.229487378426053e-08
2242668,0.7810366896168721,1.000003200591693,0.48804116763936045,2.3781198703211236e-08
2242668,0.8585934118485694,1.0000031502226512,0.48804116763936045,2.5267523622161937e-08
2242668,0.9396263384713266,1.000003100704412,0.48804116763936045,2.675384854111264e-08
2242668,1.0233100268183066,1.0000030520234142,0.48804116763936045,2.824017346006334e-08
2242668,1.1090445294787088,1.0000030041662331,0.48804116763936045,2.9726498379014042e-08
2242668,1.1963890665179104,1.00000295711958,0.48804116763936045,3.1212823297964746e-08
2242668,1.285015401867839,1.0000029108703077,0.48804116763936045,3.2699148216915445e-08
2530802,1.0296259733074764,1.000003638231123,0.28160956624204625,3.029342740627938e-08
2530802,0.971789458689553,1.0000035397107088,0.28160956624204625,3.161053294568283e-08
2530802,0.9416459590200876,1.0000034439605896,0.28160956624204625,3.2927638485086285e-08
2530802,0.9418581697646763,1.000003350913117,0.28160956624204625,3.424474402448973e-08
2530802,0.9724061292107788,1.000003260501104,0.28160956624204625,3.5561849563893185e-08
2530802,1.0305958530902444,1.000003172657939,0.28160956624204625,3.687895510329664e-08
2530802,1.1120967863299385,1.000003087317693,0.28160956624204625,3.8196060642700085e-08
2530802,1.212216114099523,1.0000030044152128,0.28160956624204625,3.951316618210354e-08
