Row,name,obsid,ra,dec,start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,_offset,"""dec2"""
653,M31_Field_B,81753001,00 44 19.13,41 20 52.0,2015-10-10T13:30:58,2015-10-20T00:00:00,1513.795,1921.693,1961,21/10/2015,18.4146,+41 20 52.0
654,M31,10686020,00 41 33.70,41 21 14.6,2020-03-01T01:51:36,2020-03-11T00:00:00,1673.003,1673.319,1680,12/03/2020,14.2132,+41 21 14.6
655,M31_Bulge,88208009,00 42 33.71,41 21 16.6,2019-03-13T02:19:35,2019-03-23T00:00:00,2019.116,2015.394,2033,24/03/2019,5.508,+41 21 16.6
656,M31_Field_B,81680001,00 44 30.45,41 21 51.7,2015-07-27T19:14:58,2015-08-06T00:00:00,4783.922,4780.773,4562,07/08/2015,20.7259,+41 21 51.7
657,M31_S5,37727005,00 44 51.16,41 21 52.3,2009-09-04T10:17:00,2016-04-09T00:00:00,2211.045,2189.76,2245,15/09/2009,24.49,+41 21 52.3
658,M31N2015-09c,34101002,00 43 02.50,41 22 28.4,2015-11-04T10:34:58,2015-11-14T00:00:00,1376.498,1372.451,1388,15/11/2015,7.1876,+41 22 28.4
659,M31N2015-09c,34101009,00 43 14.40,41 22 28.8,2015-12-10T22:50:08,2015-12-20T00:00:00,162.966,162.526,170,21/12/2015,8.4841,+41 22 28.8
660,M31_Field_B,81680002,00 44 32.13,41 22 48.5,2015-07-28T00:03:58,2015-08-07T00:00:00,12253.127,12243.848,12309,08/08/2015,21.3051,+41 22 48.5
661,XMMUJ004243.6+412519,32286024,00 42 37.28,41 22 50.9,2014-08-31T14:31:12,2018-03-02T00:00:00,826.123,824.7,832,11/09/2014,6.8336,+41 22 50.9
662,M31N2015-09c,34101008,00 43 02.23,41 23 06.7,2015-12-09T09:47:58,2015-12-19T00:00:00,2025.908,2018.605,2056,20/12/2015,7.7346,+41 23 06.7
663,M31N2015-09c,34101001,00 43 02.54,41 23 18.6,2015-10-15T10:01:58,2015-10-25T00:00:00,4257.384,1653.184,4285,26/10/2015,7.9375,+41 23 18.6
664,XMMUJ004243.6+412519,32286025,00 42 38.44,41 23 23.3,2014-09-01T11:04:58,2018-03-02T00:00:00,3570.669,3568.995,3591,12/09/2014,7.3284,+41 23 23.3
665,M31N2015-09c,34101014,00 43 10.26,41 23 28.0,2016-11-02T15:29:58,2016-11-12T00:00:00,3846.47,3841.001,3871,13/11/2016,8.7906,+41 23 28.0
666,XMMUJ004243.6+412519,32286019,00 42 37.26,41 23 28.1,2014-08-26T15:31:59,2018-03-02T00:00:00,3080.867,2942.976,3102,06/09/2014,7.4442,+41 23 28.1
667,M31N2015-09c,34101003,00 43 03.71,41 23 35.8,2015-11-05T18:19:12,2015-11-15T00:00:00,451.423,448.598,464,16/11/2015,8.2912,+41 23 35.8
668,XMMUJ004243.6+412519,32286018,00 42 46.45,41 23 36.5,2014-08-25T09:07:59,2018-03-01T00:00:00,3608.942,3605.922,3630,05/09/2014,7.4751,+41 23 36.5
669,XMMUJ004243.6+412519,32286028,00 42 32.56,41 23 42.1,2015-06-11T06:11:59,2015-06-21T00:00:00,1970.181,1980.398,2003,22/06/2015,7.8749,+41 23 42.1
670,XMMUJ004243.6+412519,32286035,00 42 45.76,41 23 54.4,2015-06-17T06:00:00,2015-06-27T00:00:00,68.033,67.952,79,28/06/2015,7.7668,+41 23 54.4
671,XMMUJ004243.6+412519,32286020,00 42 42.40,41 23 57.6,2014-08-27T13:55:59,2018-03-02T00:00:00,3284.726,3284.169,3299,07/09/2014,7.8251,+41 23 57.6
672,M31N2015-09c,34101007,00 43 07.69,41 23 58.1,2015-11-15T20:33:58,2015-11-25T00:00:00,1037.063,1033.762,1056,26/11/2015,8.9676,+41 23 58.1
